encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,latency_mean_encoder,latency_std_encoder
600.0,10.0,1331.2,6.2,1.7482995157877603,0.028846911729680406
360.0,10.0,1843.2,6.4,1.6433837972005212,0.020796200857500443
480.0,8.0,1344.0,8.0,1.6059008829752606,0.025776848849034004
540.0,8.0,1536.0,6.75,1.6425860107421875,0.03808600802978246
480.0,6.0,2048.0,7.333333333333333,1.567688777669271,0.06567442124245502
768.0,6.0,2133.3333333333335,7.333333333333333,2.1621319295247394,0.45268665281044684
768.0,8.0,1536.0,8.25,2.4050751383463544,0.42961594455064533
540.0,12.0,2048.0,6.833333333333333,2.559987882486979,0.46242074745850326
540.0,10.0,1280.0,5.8,2.2794730509440106,0.44807846816423513
768.0,10.0,1792.0,6.6,2.4172222941080723,0.426454374683995
480.0,12.0,1621.3333333333333,6.5,2.1995558268229165,0.47002596284898646
600.0,10.0,1587.2,8.0,2.3009614217122394,0.43901512258552017
600.0,10.0,1894.4,6.4,2.295713126627604,0.441034207141146
600.0,10.0,1638.4,7.4,2.32811641438802,0.47354399367128036
768.0,6.0,1536.0,3.3333333333333335,2.230791646321614,0.42790425062880344
360.0,10.0,1843.2,5.4,2.180017521158854,0.42604460247222053
540.0,8.0,1024.0,7.75,2.390566035970052,0.4136609736877475
600.0,6.0,1536.0,7.0,2.1145057169596355,0.42766959284751704
360.0,12.0,981.3333333333334,7.833333333333333,2.109011348470052,0.4386318855821806
600.0,10.0,1638.4,5.8,2.3330568847656252,0.42346453299452597
360.0,10.0,1843.2,5.4,2.3167924601236978,0.451964128362532
768.0,8.0,1856.0,6.75,2.2205094401041667,0.4573141181070434
600.0,12.0,1877.3333333333333,7.0,2.2955636840820315,0.44922178662361684
480.0,10.0,1484.8,6.4,2.1662034586588543,0.4316847926250537
360.0,12.0,1280.0,7.333333333333333,2.1137430582682293,0.44460760096621393
540.0,12.0,1237.3333333333333,6.5,2.287824275716146,0.42328047582425377
480.0,10.0,1382.4,5.8,2.185615637207031,0.41566090722326937
480.0,8.0,1856.0,6.5,2.2115466267903647,0.4231108874814846
540.0,12.0,1621.3333333333333,6.166666666666667,2.203326802571615,0.45809883688763986
480.0,12.0,1578.6666666666667,8.333333333333334,2.300731066894531,0.4264702057009891
600.0,8.0,1856.0,6.25,2.1695638224283855,0.4228272868188818
768.0,12.0,1706.6666666666667,4.5,2.4481853841145824,0.4747659817236019
480.0,12.0,1365.3333333333333,6.5,2.180786470540365,0.4341483870480815
360.0,8.0,2112.0,6.5,2.1713196818033853,0.453149709423831
600.0,12.0,1621.3333333333333,8.0,2.3607963745117186,0.45593286587063975
480.0,6.0,1450.6666666666667,5.333333333333333,2.055727233886719,0.4233219987222492
360.0,8.0,1344.0,6.75,2.0808435424804688,0.43255616190531476
360.0,6.0,1962.6666666666667,6.666666666666667,1.9971204833984377,0.42533051838187586
480.0,8.0,1536.0,7.0,2.115700996907552,0.41985665434904523
768.0,8.0,1920.0,7.25,2.2996240234375,0.4570632121612963
600.0,12.0,1536.0,7.0,2.292709285481771,0.48301626699157607
768.0,12.0,1237.3333333333333,4.833333333333333,2.301734138997396,0.4169012784330342
540.0,10.0,1894.4,3.8,2.2645283732096355,0.4309964917273494
360.0,10.0,1331.2,6.2,2.2045236246744797,0.4364463733940778
540.0,8.0,1344.0,7.0,2.152663199869792,0.42777011918457897
540.0,6.0,1450.6666666666667,9.333333333333334,2.130380969238281,0.44812054479172464
540.0,10.0,1484.8,5.6,2.3376546997070307,0.4518022537643843
360.0,12.0,1493.3333333333333,6.166666666666667,2.1812612630208337,0.42982471455242305
480.0,6.0,2133.3333333333335,8.333333333333334,2.163326765950521,0.4487083618608262
480.0,8.0,1600.0,6.5,2.1502029744466147,0.4553333492287835
480.0,6.0,1450.6666666666667,6.666666666666667,2.0953353963216146,0.41791501442197115
360.0,12.0,1536.0,8.5,2.264239489746094,0.46463465847893515
480.0,12.0,1792.0,6.5,2.2527682373046876,0.42456799046424487
